,champ,role,side,x,y,second
160,zac,top,blue,0.28859060402684567,0.33766233766233766,41
178,aphelios,adc,red,,,42
177,corki,mid,red,,,42
176,trundle,jgl,red,0.46308724832214765,0.3051948051948052,42
175,ornn,top,red,,,42
179,janna,sup,red,0.7986577181208053,0.6688311688311688,42
173,missfortune,adc,blue,0.8120805369127517,0.8571428571428571,42
172,azir,mid,blue,0.4966442953020134,0.512987012987013,42
171,gragas,jgl,blue,,,42
170,zac,top,blue,0.2953020134228188,0.33766233766233766,42
174,braum,sup,blue,,,42
188,aphelios,adc,red,,,43
187,corki,mid,red,,,43
186,trundle,jgl,red,0.48322147651006714,0.3116883116883117,43
185,ornn,top,red,,,43
189,janna,sup,red,0.7986577181208053,0.6688311688311688,43
183,missfortune,adc,blue,,,43
182,azir,mid,blue,0.5033557046979866,0.5194805194805194,43
181,gragas,jgl,blue,,,43
180,zac,top,blue,0.30201342281879195,0.33766233766233766,43
184,braum,sup,blue,,,43
199,janna,sup,red,0.7986577181208053,0.6688311688311688,44
198,aphelios,adc,red,,,44
197,corki,mid,red,0.5973154362416108,0.42857142857142855,44
196,trundle,jgl,red,0.5033557046979866,0.3181818181818182,44
195,ornn,top,red,,,44
194,braum,sup,blue,,,44
192,azir,mid,blue,0.5033557046979866,0.5194805194805194,44
191,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,44
190,zac,top,blue,,,44
193,missfortune,adc,blue,,,44
207,corki,mid,red,,,45
209,janna,sup,red,0.7986577181208053,0.6688311688311688,45
208,aphelios,adc,red,,,45
205,ornn,top,red,,,45
206,trundle,jgl,red,0.4966442953020134,0.3181818181818182,45
203,missfortune,adc,blue,,,45
204,braum,sup,blue,,,45
202,azir,mid,blue,0.5033557046979866,0.5194805194805194,45
201,gragas,jgl,blue,,,45
200,zac,top,blue,0.2953020134228188,0.33766233766233766,45
219,janna,sup,red,,,46
218,aphelios,adc,red,,,46
217,corki,mid,red,,,46
216,trundle,jgl,red,0.4966442953020134,0.3181818181818182,46
215,ornn,top,red,,,46
214,braum,sup,blue,,,46
213,missfortune,adc,blue,,,46
212,azir,mid,blue,0.4966442953020134,0.525974025974026,46
211,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,46
210,zac,top,blue,,,46
228,aphelios,adc,red,,,47
227,corki,mid,red,,,47
226,trundle,jgl,red,0.5033557046979866,0.3246753246753247,47
225,ornn,top,red,,,47
229,janna,sup,red,,,47
223,missfortune,adc,blue,,,47
222,azir,mid,blue,0.4966442953020134,0.5194805194805194,47
221,gragas,jgl,blue,,,47
220,zac,top,blue,0.2953020134228188,0.33766233766233766,47
224,braum,sup,blue,,,47
238,aphelios,adc,red,,,48
237,corki,mid,red,,,48
236,trundle,jgl,red,0.5033557046979866,0.3246753246753247,48
235,ornn,top,red,,,48
239,janna,sup,red,0.7986577181208053,0.6688311688311688,48
233,missfortune,adc,blue,,,48
232,azir,mid,blue,0.4966442953020134,0.525974025974026,48
231,gragas,jgl,blue,,,48
230,zac,top,blue,0.2953020134228188,0.33766233766233766,48
234,braum,sup,blue,,,48
249,janna,sup,red,,,49
248,aphelios,adc,red,,,49
247,corki,mid,red,,,49
246,trundle,jgl,red,0.5033557046979866,0.3246753246753247,49
245,ornn,top,red,,,49
244,braum,sup,blue,0.7919463087248322,0.7597402597402597,49
242,azir,mid,blue,0.4966442953020134,0.525974025974026,49
241,gragas,jgl,blue,,,49
240,zac,top,blue,0.2953020134228188,0.33766233766233766,49
243,missfortune,adc,blue,,,49
256,trundle,jgl,red,0.5033557046979866,0.3246753246753247,50
259,janna,sup,red,0.7919463087248322,0.6558441558441559,50
258,aphelios,adc,red,,,50
257,corki,mid,red,0.5906040268456376,0.43506493506493504,50
255,ornn,top,red,,,50
254,braum,sup,blue,,,50
253,missfortune,adc,blue,,,50
252,azir,mid,blue,0.5033557046979866,0.5324675324675324,50
251,gragas,jgl,blue,,,50
250,zac,top,blue,0.2953020134228188,0.33766233766233766,50
269,janna,sup,red,0.7919463087248322,0.6363636363636364,51
268,aphelios,adc,red,,,51
267,corki,mid,red,,,51
266,trundle,jgl,red,0.5033557046979866,0.3246753246753247,51
265,ornn,top,red,,,51
264,braum,sup,blue,,,51
263,missfortune,adc,blue,,,51
262,azir,mid,blue,0.5100671140939598,0.5454545454545454,51
261,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,51
260,zac,top,blue,,,51
278,aphelios,adc,red,,,52
277,corki,mid,red,,,52
276,trundle,jgl,red,0.5033557046979866,0.3246753246753247,52
275,ornn,top,red,,,52
279,janna,sup,red,0.7718120805369127,0.6233766233766234,52
273,missfortune,adc,blue,,,52
272,azir,mid,blue,0.4966442953020134,0.525974025974026,52
271,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,52
270,zac,top,blue,,,52
274,braum,sup,blue,,,52
288,aphelios,adc,red,,,53
287,corki,mid,red,,,53
286,trundle,jgl,red,0.5033557046979866,0.3246753246753247,53
285,ornn,top,red,,,53
289,janna,sup,red,0.7785234899328859,0.6233766233766234,53
283,missfortune,adc,blue,,,53
282,azir,mid,blue,0.4966442953020134,0.512987012987013,53
281,gragas,jgl,blue,,,53
280,zac,top,blue,0.2953020134228188,0.33766233766233766,53
284,braum,sup,blue,,,53
299,janna,sup,red,0.8053691275167785,0.6168831168831169,54
298,aphelios,adc,red,0.6308724832214765,0.6038961038961039,54
297,corki,mid,red,0.5906040268456376,0.44805194805194803,54
296,trundle,jgl,red,0.5100671140939598,0.33116883116883117,54
295,ornn,top,red,,,54
294,braum,sup,blue,,,54
292,azir,mid,blue,,,54
291,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,54
290,zac,top,blue,,,54
293,missfortune,adc,blue,,,54
306,trundle,jgl,red,0.5100671140939598,0.33116883116883117,55
308,aphelios,adc,red,0.6577181208053692,0.6038961038961039,55
307,corki,mid,red,0.5906040268456376,0.44805194805194803,55
305,ornn,top,red,,,55
309,janna,sup,red,0.825503355704698,0.6038961038961039,55
303,missfortune,adc,blue,,,55
302,azir,mid,blue,,,55
301,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,55
300,zac,top,blue,,,55
304,braum,sup,blue,,,55
319,janna,sup,red,,,56
318,aphelios,adc,red,0.6778523489932886,0.5974025974025974,56
317,corki,mid,red,,,56
316,trundle,jgl,red,0.5100671140939598,0.33116883116883117,56
315,ornn,top,red,,,56
314,braum,sup,blue,,,56
313,missfortune,adc,blue,,,56
312,azir,mid,blue,,,56
311,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,56
310,zac,top,blue,,,56
328,aphelios,adc,red,0.7046979865771812,0.5974025974025974,58
327,corki,mid,red,,,58
326,trundle,jgl,red,0.5100671140939598,0.33116883116883117,58
325,ornn,top,red,,,58
329,janna,sup,red,0.825503355704698,0.564935064935065,58
323,missfortune,adc,blue,,,58
322,azir,mid,blue,,,58
321,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,58
320,zac,top,blue,,,58
324,braum,sup,blue,,,58
338,aphelios,adc,red,0.7248322147651006,0.6038961038961039,59
337,corki,mid,red,,,59
336,trundle,jgl,red,0.5234899328859061,0.33116883116883117,59
335,ornn,top,red,,,59
339,janna,sup,red,0.825503355704698,0.5454545454545454,59
333,missfortune,adc,blue,,,59
332,azir,mid,blue,,,59
331,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,59
330,zac,top,blue,,,59
334,braum,sup,blue,,,59
349,janna,sup,red,,,60
348,aphelios,adc,red,0.7516778523489933,0.6103896103896104,60
347,corki,mid,red,,,60
346,trundle,jgl,red,0.5436241610738255,0.3181818181818182,60
345,ornn,top,red,,,60
344,braum,sup,blue,,,60
342,azir,mid,blue,,,60
341,gragas,jgl,blue,0.3624161073825503,0.4090909090909091,60
340,zac,top,blue,0.2684563758389262,0.3116883116883117,60
343,missfortune,adc,blue,,,60
356,trundle,jgl,red,,,61
358,aphelios,adc,red,0.7718120805369127,0.6168831168831169,61
357,corki,mid,red,,,61
355,ornn,top,red,,,61
359,janna,sup,red,0.8456375838926175,0.525974025974026,61
353,missfortune,adc,blue,,,61
350,zac,top,blue,,,61
354,braum,sup,blue,0.825503355704698,0.7337662337662337,61
352,azir,mid,blue,0.4966442953020134,0.5064935064935064,61
351,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,61
368,aphelios,adc,red,0.7919463087248322,0.6168831168831169,62
367,corki,mid,red,,,62
366,trundle,jgl,red,,,62
365,ornn,top,red,,,62
369,janna,sup,red,,,62
363,missfortune,adc,blue,,,62
362,azir,mid,blue,0.4966442953020134,0.5064935064935064,62
361,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,62
360,zac,top,blue,,,62
364,braum,sup,blue,0.8389261744966443,0.7532467532467533,62
379,janna,sup,red,,,63
378,aphelios,adc,red,0.8120805369127517,0.6168831168831169,63
377,corki,mid,red,,,63
376,trundle,jgl,red,,,63
375,ornn,top,red,,,63
374,braum,sup,blue,0.8590604026845637,0.7662337662337663,63
372,azir,mid,blue,0.4966442953020134,0.5064935064935064,63
370,zac,top,blue,,,63
373,missfortune,adc,blue,,,63
371,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,63
389,janna,sup,red,0.8859060402684564,0.5844155844155844,64
385,ornn,top,red,,,64
388,aphelios,adc,red,,,64
387,corki,mid,red,,,64
386,trundle,jgl,red,,,64
384,braum,sup,blue,0.8791946308724832,0.7857142857142857,64
382,azir,mid,blue,0.5033557046979866,0.5194805194805194,64
