renekton,cassiopeia,Seconds
"(43.0, 111.0)","(84.0, 70.0)",684
"(46.0, 108.0)","(85.0, 70.0)",685
"(49.0, 106.0)","(82.0, 72.0)",686
"(52.0, 103.0)","(80.0, 72.0)",687
"(55.0, 100.0)","(77.0, 73.0)",688
"(58.0, 97.0)","(75.0, 73.0)",689
"(61.0, 94.0)","(77.0, 71.0)",690
"(63.0, 91.0)","(78.0, 70.0)",691
"(66.0, 87.0)","(80.0, 68.0)",692
"(68.0, 84.0)","(80.0, 65.0)",693
"(71.0, 80.0)","(77.0, 62.0)",694
"(74.0, 76.0)","(73.0, 60.0)",695
"(76.0, 77.0)","(70.0, 58.0)",696
"(78.0, 78.0)","(70.0, 55.0)",697
"(80.0, 79.0)","(73.0, 52.0)",698
"(83.0, 81.0)","(75.0, 50.0)",699
"(85.0, 82.0)","(78.0, 50.0)",700
"(87.0, 83.0)","(79.0, 49.0)",701
"(89.0, 84.0)","(81.0, 47.0)",702
"(85.0, 82.0)","(81.0, 47.0)",703
"(82.0, 79.0)","(82.0, 47.0)",704
"(80.0, 76.0)","(83.0, 47.0)",705
"(80.0, 75.0)","(83.0, 47.0)",706
"(79.0, 74.0)","(84.0, 48.0)",707
"(78.0, 73.0)","(84.0, 48.0)",708
"(78.0, 72.0)","(85.0, 48.0)",709
"(80.0, 70.0)","(88.0, 50.0)",710
"(81.0, 69.0)","(91.0, 52.0)",711
"(82.0, 69.0)","(91.0, 54.0)",712
"(83.0, 70.0)","(91.0, 56.0)",713
"(84.0, 70.0)","(91.0, 59.0)",714
"(85.0, 70.0)","(91.0, 61.0)",715
"(86.0, 71.0)","(90.0, 63.0)",716
"(87.0, 71.0)","(90.0, 65.0)",717
"(88.0, 71.0)","(90.0, 68.0)",718
"(89.0, 72.0)","(90.0, 70.0)",719
"(90.0, 72.0)","(90.0, 72.0)",720
"(93.0, 74.0)","(93.0, 74.0)",721
"(97.0, 75.0)","(97.0, 75.0)",722
"(88.0, 84.0)","(100.0, 78.0)",723
"(86.0, 85.0)","(103.0, 80.0)",724
"(84.0, 86.0)","(105.0, 83.0)",725
"(83.0, 88.0)","(104.0, 86.0)",726
"(81.0, 89.0)","(103.0, 90.0)",727
"(79.0, 90.0)","(103.0, 87.0)",728
"(77.0, 91.0)","(103.0, 83.0)",729
"(75.0, 92.0)","(101.0, 80.0)",730
"(74.0, 94.0)","(97.0, 78.0)",731
"(72.0, 95.0)","(95.0, 75.0)",732
"(70.0, 96.0)","(91.0, 73.0)",733
"(71.0, 97.0)","(89.0, 70.0)",734
"(71.0, 97.0)","(86.0, 70.0)",735
"(70.0, 98.0)","(83.0, 71.0)",736
"(70.0, 98.0)","(81.0, 72.0)",737
"(70.0, 98.0)","(79.0, 72.0)",738
"(70.0, 99.0)","(78.0, 71.0)",739
"(69.0, 99.0)","(76.0, 70.0)",740
"(69.0, 100.0)","(76.0, 70.0)",741
"(66.0, 100.0)","(75.0, 70.0)",742
"(63.0, 101.0)","(76.0, 69.0)",743
"(59.0, 98.0)","(78.0, 68.0)",744
"(60.0, 94.0)","(77.0, 66.0)",745
"(60.0, 92.0)","(77.0, 65.0)",746
"(60.0, 91.0)","(77.0, 65.0)",747
"(60.0, 89.0)","(77.0, 65.0)",748
"(59.0, 87.0)","(77.0, 65.0)",749
"(59.0, 86.0)","(86.0, 58.0)",750
"(59.0, 84.0)","(95.0, 51.0)",751
"(60.0, 84.0)","(104.0, 44.0)",752
"(62.0, 83.0)","(114.0, 36.0)",753
"(63.0, 83.0)","(123.0, 29.0)",754
"(64.0, 83.0)","(132.0, 22.0)",755
"(65.0, 83.0)","(141.0, 15.0)",756
"(68.0, 81.0)","(137.0, 8.0)",757
"(69.0, 79.0)","(135.0, 10.0)",758
"(67.0, 81.0)","(132.0, 11.0)",759
"(69.0, 79.0)","(129.0, 14.0)",760
"(71.0, 77.0)","(126.0, 17.0)",761
"(74.0, 75.0)","(123.0, 20.0)",762
"(76.0, 73.0)","(121.0, 23.0)",763
"(78.0, 71.0)","(118.0, 26.0)",764
"(77.0, 71.0)","(115.0, 29.0)",765
"(80.0, 71.0)","(113.0, 32.0)",766
"(82.0, 68.0)","(110.0, 35.0)",767
"(80.0, 70.0)","(108.0, 38.0)",768
"(79.0, 71.0)","(106.0, 41.0)",769
"(78.0, 72.0)","(104.0, 45.0)",770
"(76.0, 74.0)","(101.0, 48.0)",771
"(77.0, 74.0)","(99.0, 52.0)",772
"(78.0, 74.0)","(97.0, 55.0)",773
"(79.0, 74.0)","(95.0, 58.0)",774
"(81.0, 74.0)","(92.0, 60.0)",775
"(82.0, 75.0)","(90.0, 61.0)",776
"(83.0, 75.0)","(87.0, 62.0)",777
"(84.0, 75.0)","(87.0, 60.0)",778
"(85.0, 75.0)","(89.0, 58.0)",779
"(86.0, 75.0)","(91.0, 54.0)",780
"(88.0, 75.0)","(90.0, 51.0)",781
"(89.0, 75.0)","(89.0, 50.0)",782
"(90.0, 75.0)","(91.0, 53.0)",783
"(91.0, 75.0)","(91.0, 57.0)",784
"(92.0, 75.0)","(90.0, 61.0)",785
"(93.0, 76.0)","(90.0, 64.0)",786
"(94.0, 76.0)","(90.0, 68.0)",787
"(96.0, 76.0)","(92.0, 72.0)",788
"(97.0, 76.0)","(89.0, 71.0)",789
"(98.0, 76.0)","(86.0, 69.0)",790
"(99.0, 76.0)","(85.0, 68.0)",791
"(100.0, 76.0)","(82.0, 69.0)",792
"(101.0, 76.0)","(84.0, 70.0)",793
"(103.0, 76.0)","(84.0, 69.0)",794
"(104.0, 76.0)","(82.0, 70.0)",795
"(105.0, 77.0)","(83.0, 69.0)",796
"(106.0, 77.0)","(85.0, 69.0)",797
"(107.0, 77.0)","(86.0, 68.0)",798
"(108.0, 77.0)","(86.0, 68.0)",799
"(109.0, 77.0)","(83.0, 68.0)",800
"(111.0, 77.0)","(84.0, 65.0)",801
"(112.0, 77.0)","(84.0, 64.0)",802
"(113.0, 77.0)","(84.0, 62.0)",803
"(114.0, 77.0)","(84.0, 63.0)",804
"(115.0, 77.0)","(84.0, 64.0)",805
"(116.0, 78.0)","(82.0, 65.0)",806
"(118.0, 78.0)","(82.0, 65.0)",807
"(119.0, 78.0)","(82.0, 65.0)",808
"(120.0, 78.0)","(82.0, 65.0)",809
"(121.0, 78.0)","(83.0, 65.0)",810
"(120.0, 82.0)","(83.0, 65.0)",811
"(118.0, 85.0)","(83.0, 65.0)",812
"(120.0, 88.0)","(85.0, 65.0)",813
"(121.0, 90.0)","(86.0, 66.0)",814
"(121.0, 91.0)","(88.0, 66.0)",815
"(119.0, 92.0)","(89.0, 67.0)",816
"(117.0, 93.0)","(91.0, 67.0)",817
"(115.0, 95.0)","(93.0, 68.0)",818
"(113.0, 96.0)","(94.0, 68.0)",819
"(111.0, 97.0)","(96.0, 69.0)",820
"(111.0, 97.0)","(97.0, 69.0)",821
"(111.0, 97.0)","(99.0, 70.0)",822
"(111.0, 97.0)","(101.0, 70.0)",823
"(111.0, 97.0)","(102.0, 71.0)",824
"(111.0, 97.0)","(104.0, 71.0)",825
"(111.0, 97.0)","(105.0, 72.0)",826
"(111.0, 97.0)","(107.0, 72.0)",827
"(111.0, 97.0)","(107.0, 74.0)",828
"(111.0, 97.0)","(107.0, 74.0)",829
"(111.0, 97.0)","(107.0, 74.0)",830
"(111.0, 97.0)","(107.0, 75.0)",831
"(111.0, 97.0)","(106.0, 75.0)",832
"(111.0, 97.0)","(106.0, 76.0)",833
"(111.0, 97.0)","(106.0, 76.0)",834
"(111.0, 97.0)","(105.0, 77.0)",835
"(111.0, 97.0)","(105.0, 77.0)",836
"(111.0, 97.0)","(105.0, 78.0)",837
"(111.0, 97.0)","(105.0, 78.0)",838
"(111.0, 97.0)","(104.0, 79.0)",839
"(111.0, 97.0)","(104.0, 79.0)",840
"(111.0, 97.0)","(104.0, 80.0)",841
"(111.0, 97.0)","(103.0, 80.0)",842
"(111.0, 97.0)","(103.0, 81.0)",843
"(111.0, 97.0)","(103.0, 81.0)",844
"(111.0, 97.0)","(103.0, 80.0)",845
"(111.0, 97.0)","(103.0, 80.0)",846
"(111.0, 97.0)","(103.0, 80.0)",847
"(111.0, 97.0)","(102.0, 80.0)",848
"(111.0, 97.0)","(102.0, 79.0)",849
"(111.0, 97.0)","(102.0, 79.0)",850
"(111.0, 97.0)","(102.0, 79.0)",851
"(111.0, 97.0)","(102.0, 79.0)",852
"(111.0, 97.0)","(102.0, 78.0)",853
"(111.0, 97.0)","(102.0, 78.0)",854
"(111.0, 97.0)","(102.0, 78.0)",855
"(111.0, 97.0)","(102.0, 78.0)",856
"(111.0, 97.0)","(101.0, 77.0)",857
"(111.0, 97.0)","(101.0, 77.0)",858
"(111.0, 97.0)","(101.0, 77.0)",859
"(111.0, 97.0)","(101.0, 77.0)",860
"(111.0, 97.0)","(101.0, 76.0)",861
"(111.0, 97.0)","(101.0, 76.0)",862
"(111.0, 97.0)","(101.0, 76.0)",863
"(111.0, 97.0)","(101.0, 76.0)",864
"(111.0, 97.0)","(101.0, 75.0)",865
"(111.0, 97.0)","(100.0, 75.0)",866
"(111.0, 97.0)","(100.0, 75.0)",867
"(111.0, 97.0)","(100.0, 75.0)",868
"(111.0, 97.0)","(100.0, 74.0)",869
"(111.0, 97.0)","(100.0, 74.0)",870
"(8.0, 120.0)","(100.0, 74.0)",871
"(8.0, 116.0)","(100.0, 73.0)",872
"(9.0, 112.0)","(100.0, 73.0)",873
"(10.0, 108.0)","(100.0, 73.0)",874
"(11.0, 104.0)","(99.0, 73.0)",875
"(14.0, 101.0)","(99.0, 72.0)",876
"(17.0, 99.0)","(99.0, 72.0)",877
"(20.0, 96.0)","(99.0, 72.0)",878
"(23.0, 93.0)","(99.0, 72.0)",879
"(26.0, 90.0)","(99.0, 71.0)",880
"(29.0, 87.0)","(99.0, 71.0)",881
"(32.0, 84.0)","(99.0, 71.0)",882
"(36.0, 80.0)","(99.0, 71.0)",883
"(39.0, 77.0)","(98.0, 70.0)",884
"(42.0, 74.0)","(98.0, 70.0)",885
"(45.0, 71.0)","(98.0, 70.0)",886
"(48.0, 68.0)","(98.0, 70.0)",887
"(50.0, 67.0)","(98.0, 69.0)",888
"(51.0, 66.0)","(98.0, 69.0)",889
"(53.0, 65.0)","(98.0, 69.0)",890
"(55.0, 64.0)","(98.0, 69.0)",891
"(56.0, 63.0)","(98.0, 68.0)",892
"(58.0, 62.0)","(97.0, 68.0)",893
"(60.0, 61.0)","(97.0, 68.0)",894
"(62.0, 60.0)","(97.0, 68.0)",895
"(63.0, 59.0)","(97.0, 67.0)",896
"(65.0, 58.0)","(97.0, 67.0)",897
"(67.0, 57.0)","(97.0, 67.0)",898
"(68.0, 56.0)","(97.0, 66.0)",899
"(70.0, 55.0)","(97.0, 66.0)",900
"(72.0, 54.0)","(97.0, 66.0)",901
"(74.0, 53.0)","(96.0, 66.0)",902
"(75.0, 52.0)","(96.0, 65.0)",903
"(77.0, 51.0)","(96.0, 65.0)",904
"(79.0, 50.0)","(96.0, 65.0)",905
"(80.0, 49.0)","(96.0, 65.0)",906
"(82.0, 48.0)","(96.0, 64.0)",907
"(80.0, 55.0)","(96.0, 64.0)",908
"(78.0, 54.0)","(96.0, 64.0)",909
"(77.0, 52.0)","(96.0, 64.0)",910
"(75.0, 51.0)","(95.0, 63.0)",911
"(74.0, 50.0)","(95.0, 63.0)",912
"(72.0, 48.0)","(95.0, 63.0)",913
"(71.0, 47.0)","(95.0, 63.0)",914
"(69.0, 46.0)","(95.0, 62.0)",915
"(67.0, 44.0)","(95.0, 62.0)",916
"(66.0, 43.0)","(95.0, 62.0)",917
"(64.0, 41.0)","(95.0, 62.0)",918
"(63.0, 40.0)","(95.0, 61.0)",919
"(61.0, 39.0)","(94.0, 61.0)",920
"(60.0, 37.0)","(94.0, 61.0)",921
"(58.0, 36.0)","(94.0, 61.0)",922
"(54.0, 34.0)","(94.0, 60.0)",923
"(49.0, 32.0)","(94.0, 60.0)",924
"(45.0, 32.0)","(92.0, 61.0)",925
"(40.0, 32.0)","(94.0, 61.0)",926
"(36.0, 32.0)","(97.0, 58.0)",927
"(32.0, 31.0)","(100.0, 56.0)",928
"(28.0, 29.0)","(104.0, 54.0)",929
"(24.0, 27.0)","(107.0, 51.0)",930
"(26.0, 31.0)","(110.0, 51.0)",931
"(28.0, 34.0)","(114.0, 51.0)",932
"(30.0, 38.0)","(118.0, 51.0)",933
"(33.0, 41.0)","(122.0, 52.0)",934
"(36.0, 44.0)","(126.0, 53.0)",935
"(39.0, 46.0)","(129.0, 54.0)",936
"(39.0, 46.0)","(133.0, 55.0)",937
"(38.0, 46.0)","(135.0, 58.0)",938
"(38.0, 46.0)","(136.0, 62.0)",939
"(37.0, 46.0)","(138.0, 65.0)",940
"(37.0, 46.0)","(138.0, 69.0)",941
"(36.0, 45.0)","(139.0, 71.0)",942
"(36.0, 45.0)","(139.0, 73.0)",943
"(35.0, 45.0)","(140.0, 73.0)",944
"(35.0, 45.0)","(141.0, 74.0)",945
"(34.0, 45.0)","(142.0, 75.0)",946
"(34.0, 45.0)","(140.0, 75.0)",947
"(32.0, 41.0)","(136.0, 75.0)",948
"(29.0, 38.0)","(131.0, 76.0)",949
"(27.0, 34.0)","(128.0, 76.0)",950
"(24.0, 31.0)","(124.0, 77.0)",951
"(23.0, 31.0)","(127.0, 76.0)",952
"(23.0, 31.0)","(131.0, 77.0)",953
"(22.0, 31.0)","(135.0, 78.0)",954
"(22.0, 30.0)","(137.0, 81.0)",955
"(21.0, 30.0)","(138.0, 84.0)",956
"(20.0, 30.0)","(138.0, 84.0)",957
"(20.0, 30.0)","(140.0, 83.0)",958
"(19.0, 30.0)","(140.0, 82.0)",959
"(18.0, 30.0)","(140.0, 80.0)",960
"(18.0, 29.0)","(140.0, 81.0)",961
"(17.0, 29.0)","(140.0, 82.0)",962
"(17.0, 29.0)","(141.0, 82.0)",963
"(16.0, 29.0)","(141.0, 81.0)",964
"(16.0, 29.0)","(140.0, 80.0)",965
"(17.0, 28.0)","(138.0, 82.0)",966
"(17.0, 28.0)","(137.0, 85.0)",967
"(18.0, 27.0)","(136.0, 89.0)",968
"(18.0, 26.0)","(136.0, 93.0)",969
"(19.0, 25.0)","(136.0, 97.0)",970
"(20.0, 24.0)","(136.0, 101.0)",971
"(24.0, 22.0)","(135.0, 105.0)",972
"(28.0, 21.0)","(135.0, 109.0)",973
"(30.0, 20.0)","(133.0, 113.0)",974
"(31.0, 19.0)","(132.0, 117.0)",975
"(33.0, 18.0)","(132.0, 119.0)",976
"(35.0, 17.0)","(132.0, 121.0)",977
"(37.0, 16.0)","(132.0, 121.0)",978
"(38.0, 15.0)","(131.0, 120.0)",979
"(40.0, 14.0)","(131.0, 121.0)",980
"(44.0, 14.0)","(131.0, 122.0)",981
"(48.0, 14.0)","(129.0, 125.0)",982
"(53.0, 14.0)","(126.0, 127.0)",983
"(57.0, 14.0)","(123.0, 130.0)",984
"(61.0, 14.0)","(119.0, 132.0)",985
"(65.0, 13.0)","(116.0, 132.0)",986
"(65.0, 13.0)","(112.0, 133.0)",987
"(65.0, 13.0)","(110.0, 135.0)",988
"(65.0, 13.0)","(110.0, 135.0)",989
"(64.0, 13.0)","(110.0, 135.0)",990
"(64.0, 13.0)","(110.0, 135.0)",991
"(64.0, 13.0)","(110.0, 135.0)",992
"(64.0, 13.0)","(110.0, 135.0)",993
"(64.0, 13.0)","(110.0, 135.0)",994
"(64.0, 13.0)","(110.0, 135.0)",995
"(64.0, 13.0)","(110.0, 135.0)",996
"(64.0, 13.0)","(110.0, 135.0)",997
"(63.0, 13.0)","(110.0, 135.0)",998
"(63.0, 13.0)","(110.0, 135.0)",999
"(63.0, 13.0)","(110.0, 135.0)",1000
"(63.0, 13.0)","(110.0, 135.0)",1001
"(60.0, 15.0)","(114.0, 134.0)",1002
"(58.0, 17.0)","(115.0, 134.0)",1003
"(55.0, 19.0)","(115.0, 133.0)",1004
"(52.0, 21.0)","(115.0, 132.0)",1005
"(50.0, 23.0)","(118.0, 131.0)",1006
"(47.0, 25.0)","(118.0, 131.0)",1007
"(47.0, 25.0)","(120.0, 127.0)",1008
"(47.0, 25.0)","(120.0, 123.0)",1009
"(47.0, 25.0)","(119.0, 119.0)",1010
"(47.0, 25.0)","(117.0, 115.0)",1011
"(47.0, 25.0)","(115.0, 112.0)",1012
"(47.0, 25.0)","(114.0, 108.0)",1013
"(47.0, 25.0)","(112.0, 104.0)",1014
"(47.0, 25.0)","(110.0, 101.0)",1015
"(47.0, 25.0)","(107.0, 98.0)",1016
"(47.0, 25.0)","(106.0, 97.0)",1017
"(47.0, 25.0)","(106.0, 94.0)",1018
"(47.0, 25.0)","(105.0, 92.0)",1019
"(47.0, 25.0)","(103.0, 89.0)",1020
"(47.0, 25.0)","(101.0, 87.0)",1021
"(10.0, 133.0)","(100.0, 84.0)",1022
"(14.0, 132.0)","(98.0, 81.0)",1023
"(18.0, 130.0)","(96.0, 79.0)",1024
"(21.0, 127.0)","(94.0, 76.0)",1025
"(23.0, 124.0)","(91.0, 74.0)",1026
"(26.0, 121.0)","(89.0, 70.0)",1027
"(29.0, 118.0)","(89.0, 74.0)",1028
"(32.0, 115.0)","(93.0, 75.0)",1029
"(35.0, 112.0)","(97.0, 76.0)",1030
"(36.0, 108.0)","(101.0, 77.0)",1031
"(37.0, 104.0)","(106.0, 78.0)",1032
"(38.0, 100.0)","(110.0, 79.0)",1033
"(40.0, 97.0)","(114.0, 80.0)",1034
"(41.0, 93.0)","(119.0, 81.0)",1035
"(42.0, 89.0)","(123.0, 82.0)",1036
"(43.0, 85.0)","(124.0, 81.0)",1037
"(44.0, 81.0)","(122.0, 81.0)",1038
"(46.0, 78.0)","(123.0, 80.0)",1039
"(47.0, 74.0)","(123.0, 80.0)",1040
"(48.0, 70.0)","(124.0, 80.0)",1041
"(49.0, 66.0)","(124.0, 79.0)",1042
"(53.0, 64.0)","(125.0, 78.0)",1043
"(57.0, 64.0)","(126.0, 78.0)",1044
"(61.0, 66.0)","(126.0, 78.0)",1045
"(64.0, 65.0)","(127.0, 77.0)",1046
"(68.0, 64.0)","(127.0, 76.0)",1047
"(68.0, 64.0)","(128.0, 76.0)",1048
"(68.0, 63.0)","(128.0, 76.0)",1049
"(68.0, 63.0)","(129.0, 75.0)",1050
"(67.0, 63.0)","(126.0, 76.0)",1051
"(67.0, 62.0)","(129.0, 76.0)",1052
"(67.0, 62.0)","(131.0, 76.0)",1053
"(67.0, 61.0)","(134.0, 76.0)",1054
"(67.0, 61.0)","(134.0, 75.0)",1055
"(67.0, 61.0)","(134.0, 71.0)",1056
"(67.0, 60.0)","(135.0, 67.0)",1057
"(66.0, 60.0)","(135.0, 63.0)",1058
"(66.0, 60.0)","(135.0, 59.0)",1059
"(66.0, 59.0)","(134.0, 55.0)",1060
"(66.0, 59.0)","(131.0, 54.0)",1061
"(66.0, 59.0)","(129.0, 53.0)",1062
"(66.0, 58.0)","(126.0, 53.0)",1063
"(66.0, 58.0)","(124.0, 52.0)",1064
"(65.0, 57.0)","(121.0, 51.0)",1065
"(65.0, 57.0)","(117.0, 51.0)",1066
"(65.0, 57.0)","(115.0, 50.0)",1067
"(65.0, 56.0)","(117.0, 51.0)",1068
"(65.0, 56.0)","(120.0, 52.0)",1069
"(65.0, 56.0)","(122.0, 52.0)",1070
"(64.0, 55.0)","(124.0, 52.0)",1071
"(64.0, 55.0)","(127.0, 53.0)",1072
"(64.0, 54.0)","(129.0, 53.0)",1073
"(64.0, 54.0)","(133.0, 55.0)",1074
"(64.0, 54.0)","(135.0, 58.0)",1075
"(64.0, 53.0)","(137.0, 61.0)",1076
"(64.0, 53.0)","(138.0, 65.0)",1077
"(63.0, 53.0)","(140.0, 68.0)",1078
"(63.0, 52.0)","(140.0, 69.0)",1079
"(63.0, 52.0)","(140.0, 70.0)",1080
"(63.0, 52.0)","(141.0, 70.0)",1081
"(63.0, 51.0)","(141.0, 71.0)",1082
"(63.0, 51.0)","(141.0, 72.0)",1083
"(63.0, 50.0)","(141.0, 73.0)",1084
"(62.0, 50.0)","(142.0, 73.0)",1085
"(62.0, 50.0)","(142.0, 74.0)",1086
"(62.0, 49.0)","(142.0, 75.0)",1087
"(62.0, 49.0)","(140.0, 75.0)",1088
"(60.0, 48.0)","(140.0, 73.0)",1089
"(59.0, 43.0)","(140.0, 69.0)",1090
"(59.0, 38.0)","(140.0, 68.0)",1091
"(58.0, 38.0)","(140.0, 69.0)",1092
"(58.0, 37.0)","(140.0, 67.0)",1093
"(58.0, 36.0)","(140.0, 66.0)",1094
"(57.0, 36.0)","(140.0, 64.0)",1095
"(56.0, 36.0)","(141.0, 62.0)",1096
"(56.0, 35.0)","(141.0, 60.0)",1097
"(56.0, 34.0)","(141.0, 59.0)",1098
"(55.0, 34.0)","(141.0, 57.0)",1099
"(54.0, 34.0)","(141.0, 55.0)",1100
"(54.0, 33.0)","(142.0, 54.0)",1101
"(51.0, 33.0)","(142.0, 52.0)",1102
"(47.0, 33.0)","(142.0, 50.0)",1103
"(44.0, 32.0)","(142.0, 48.0)",1104
"(40.0, 32.0)","(142.0, 47.0)",1105
"(37.0, 32.0)","(142.0, 45.0)",1106
"(33.0, 30.0)","(142.0, 43.0)",1107
"(29.0, 29.0)","(143.0, 41.0)",1108
"(28.0, 32.0)","(143.0, 40.0)",1109
"(29.0, 37.0)","(143.0, 38.0)",1110
"(28.0, 36.0)","(143.0, 42.0)",1111
"(27.0, 35.0)","(142.0, 46.0)",1112
"(26.0, 34.0)","(142.0, 50.0)",1113
"(24.0, 30.0)","(141.0, 54.0)",1114
"(23.0, 26.0)","(141.0, 58.0)",1115
"(21.0, 26.0)","(140.0, 62.0)",1116
"(21.0, 26.0)","(140.0, 66.0)",1117
"(20.0, 26.0)","(139.0, 70.0)",1118
"(20.0, 26.0)","(139.0, 74.0)",1119
"(20.0, 26.0)","(140.0, 78.0)",1120
"(19.0, 25.0)","(139.0, 82.0)",1121
"(19.0, 25.0)","(138.0, 86.0)",1122
"(18.0, 25.0)","(136.0, 89.0)",1123
"(18.0, 25.0)","(135.0, 93.0)",1124
"(20.0, 26.0)","(132.0, 96.0)",1125
"(19.0, 26.0)","(132.0, 96.0)",1126
"(19.0, 27.0)","(132.0, 96.0)",1127
"(18.0, 27.0)","(134.0, 97.0)",1128
"(16.0, 29.0)","(135.0, 99.0)",1129
"(16.0, 29.0)","(135.0, 99.0)",1130
"(16.0, 28.0)","(136.0, 101.0)",1131
"(16.0, 28.0)","(136.0, 103.0)",1132
"(16.0, 28.0)","(138.0, 104.0)",1133
"(17.0, 28.0)","(139.0, 104.0)",1134
"(17.0, 29.0)","(138.0, 103.0)",1135
"(18.0, 29.0)","(138.0, 102.0)",1136
"(18.0, 29.0)","(136.0, 99.0)",1137
"(17.0, 27.0)","(134.0, 96.0)",1138
"(17.0, 27.0)","(130.0, 95.0)",1139
"(17.0, 26.0)","(128.0, 91.0)",1140
"(17.0, 26.0)","(127.0, 88.0)",1141
"(17.0, 26.0)","(125.0, 84.0)",1142
"(16.0, 26.0)","(124.0, 83.0)",1143
"(16.0, 25.0)","(123.0, 82.0)",1144
"(16.0, 25.0)","(122.0, 82.0)",1145
"(16.0, 25.0)","(121.0, 81.0)",1146
"(16.0, 24.0)","(120.0, 80.0)",1147
"(16.0, 24.0)","(119.0, 79.0)",1148
"(16.0, 24.0)","(117.0, 79.0)",1149
"(16.0, 24.0)","(116.0, 78.0)",1150
"(16.0, 24.0)","(115.0, 77.0)",1151
"(15.0, 24.0)","(114.0, 76.0)",1152
"(15.0, 24.0)","(113.0, 76.0)",1153
"(15.0, 24.0)","(112.0, 75.0)",1154
"(15.0, 24.0)","(111.0, 74.0)",1155
"(15.0, 24.0)","(116.0, 74.0)",1156
"(15.0, 24.0)","(120.0, 75.0)",1157
"(16.0, 24.0)","(123.0, 78.0)",1158
"(16.0, 24.0)","(124.0, 81.0)",1159
"(16.0, 24.0)","(124.0, 82.0)",1160
"(16.0, 24.0)","(123.0, 81.0)",1161
"(17.0, 24.0)","(122.0, 79.0)",1162
"(17.0, 24.0)","(124.0, 76.0)",1163
"(17.0, 24.0)","(126.0, 76.0)",1164
"(17.0, 24.0)","(128.0, 78.0)",1165
"(18.0, 24.0)","(130.0, 79.0)",1166
"(18.0, 24.0)","(133.0, 80.0)",1167
"(18.0, 24.0)","(135.0, 82.0)",1168
"(19.0, 24.0)","(135.0, 86.0)",1169
"(19.0, 24.0)","(135.0, 90.0)",1170
"(18.0, 24.0)","(134.0, 94.0)",1171
"(18.0, 24.0)","(131.0, 97.0)",1172
"(17.0, 24.0)","(130.0, 101.0)",1173
"(17.0, 24.0)","(133.0, 99.0)",1174
"(16.0, 24.0)","(135.0, 102.0)",1175
"(16.0, 24.0)","(136.0, 106.0)",1176
"(16.0, 24.0)","(137.0, 110.0)",1177
"(15.0, 24.0)","(139.0, 114.0)",1178
"(15.0, 24.0)","(141.0, 117.0)",1179
"(14.0, 24.0)","(139.0, 120.0)",1180
"(14.0, 24.0)","(138.0, 123.0)",1181
"(15.0, 24.0)","(136.0, 126.0)",1182
"(16.0, 24.0)","(134.0, 126.0)",1183
"(18.0, 23.0)","(132.0, 125.0)",1184
"(19.0, 23.0)","(132.0, 127.0)",1185
"(20.0, 23.0)","(129.0, 127.0)",1186
"(22.0, 22.0)","(127.0, 127.0)",1187
"(23.0, 22.0)","(125.0, 126.0)",1188
"(23.0, 22.0)","(124.0, 123.0)",1189
"(23.0, 22.0)","(123.0, 119.0)",1190
"(23.0, 22.0)","(121.0, 115.0)",1191
"(23.0, 22.0)","(120.0, 111.0)",1192
"(23.0, 22.0)","(118.0, 108.0)",1193
"(23.0, 22.0)","(117.0, 104.0)",1194
"(23.0, 22.0)","(116.0, 100.0)",1195
"(23.0, 22.0)","(116.0, 95.0)",1196
"(23.0, 22.0)","(116.0, 91.0)",1197
"(23.0, 22.0)","(115.0, 88.0)",1198
"(23.0, 22.0)","(116.0, 85.0)",1199
"(23.0, 22.0)","(116.0, 85.0)",1200
